Driver,Fastest Lap (s),Avg Lap (s),Laps Completed,Best S1 (s),Best S2 (s),Best S3 (s),Year,GP
NOR,95.257,98.615,45,30.533,41.13,23.594,2023,Bahrain
ALO,96.156,98.264,53,30.763,41.462,23.634,2023,Bahrain
VER,96.236,97.633,53,30.783,41.747,23.448,2023,Bahrain
PER,96.344,97.919,54,30.774,41.786,23.511,2023,Bahrain
HAM,96.546,98.476,53,30.768,42.013,23.63,2023,Bahrain
RUS,97.035,98.522,53,30.782,42.391,23.55,2023,Bahrain
SAI,97.13,98.534,54,30.975,42.381,23.628,2023,Bahrain
LEC,97.17,98.591,37,30.859,42.385,23.62,2023,Bahrain
VER,92.608,95.685,53,29.741,39.916,22.951,2024,Bahrain
LEC,94.09,96.464,54,30.063,40.65,23.28,2024,Bahrain
ALO,94.199,97.003,53,30.046,40.783,23.265,2024,Bahrain
PER,94.364,96.25,55,30.063,40.772,23.151,2024,Bahrain
NOR,94.476,96.599,54,30.162,40.838,23.318,2024,Bahrain
SAI,94.507,96.309,55,30.202,40.971,23.14,2024,Bahrain
HAM,94.722,96.636,54,30.06,41.116,23.323,2024,Bahrain
RUS,95.065,96.651,55,30.286,41.196,23.302,2024,Bahrain
HAM,75.65,77.848,49,19.76,35.647,20.092,2023,Monaco
LEC,75.773,77.925,49,19.73,35.718,20.059,2023,Monaco
PER,76.269,78.434,46,19.979,35.734,20.241,2023,Monaco
SAI,76.449,77.874,49,19.911,36.003,20.262,2023,Monaco
VER,76.604,77.407,50,19.913,36.053,20.32,2023,Monaco
ALO,76.674,77.61,50,19.801,36.332,20.348,2023,Monaco
RUS,76.798,78.051,50,19.925,36.259,20.469,2023,Monaco
NOR,77.844,78.772,48,20.258,36.814,20.597,2023,Monaco
HAM,74.165,77.019,50,19.485,34.842,19.7,2024,Monaco
VER,74.569,77.394,56,19.343,35.369,19.836,2024,Monaco
SAI,74.726,77.947,62,19.53,35.266,19.849,2024,Monaco
LEC,75.162,78.049,68,19.716,35.501,19.942,2024,Monaco
RUS,75.228,77.996,65,19.584,35.408,20.162,2024,Monaco
NOR,75.742,78.284,72,19.811,35.837,20.012,2024,Monaco
ALO,77.939,80.31,70,20.279,36.659,20.83,2024,Monaco
