LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,LapTimeSec,Sector1Sec,Sector2Sec,Sector3Sec,Driver,Year,GP
1.0,0 days 00:01:39.019000,,0 days 00:00:42.414000,0 days 00:00:23.842000,SOFT,4.0,99.019,,42.414,23.842,VER,2023,Bahrain
2.0,0 days 00:01:37.974000,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,SOFT,5.0,97.974,31.342,42.504,24.128,VER,2023,Bahrain
3.0,0 days 00:01:38.006000,0 days 00:00:31.388000,0 days 00:00:42.469000,0 days 00:00:24.149000,SOFT,6.0,98.006,31.388,42.469,24.149,VER,2023,Bahrain
4.0,0 days 00:01:37.976000,0 days 00:00:31.271000,0 days 00:00:42.642000,0 days 00:00:24.063000,SOFT,7.0,97.976,31.271,42.642,24.063,VER,2023,Bahrain
5.0,0 days 00:01:38.035000,0 days 00:00:31.244000,0 days 00:00:42.724000,0 days 00:00:24.067000,SOFT,8.0,98.035,31.244,42.724,24.067,VER,2023,Bahrain
6.0,0 days 00:01:37.986000,0 days 00:00:31.341000,0 days 00:00:42.632000,0 days 00:00:24.013000,SOFT,9.0,97.986,31.341,42.632,24.013,VER,2023,Bahrain
7.0,0 days 00:01:38.021000,0 days 00:00:31.290000,0 days 00:00:42.763000,0 days 00:00:23.968000,SOFT,10.0,98.021,31.29,42.763,23.968,VER,2023,Bahrain
8.0,0 days 00:01:38.154000,0 days 00:00:31.291000,0 days 00:00:42.833000,0 days 00:00:24.030000,SOFT,11.0,98.154,31.291,42.833,24.03,VER,2023,Bahrain
9.0,0 days 00:01:38.278000,0 days 00:00:31.336000,0 days 00:00:42.823000,0 days 00:00:24.119000,SOFT,12.0,98.278,31.336,42.823,24.119,VER,2023,Bahrain
10.0,0 days 00:01:38.369000,0 days 00:00:31.361000,0 days 00:00:42.884000,0 days 00:00:24.124000,SOFT,13.0,98.369,31.361,42.884,24.124,VER,2023,Bahrain
11.0,0 days 00:01:38.483000,0 days 00:00:31.342000,0 days 00:00:42.978000,0 days 00:00:24.163000,SOFT,14.0,98.483,31.342,42.978,24.163,VER,2023,Bahrain
12.0,0 days 00:01:38.591000,0 days 00:00:31.408000,0 days 00:00:42.951000,0 days 00:00:24.232000,SOFT,15.0,98.591,31.408,42.951,24.232,VER,2023,Bahrain
13.0,0 days 00:01:38.482000,0 days 00:00:31.389000,0 days 00:00:42.907000,0 days 00:00:24.186000,SOFT,16.0,98.482,31.389,42.907,24.186,VER,2023,Bahrain
14.0,0 days 00:01:41.295000,0 days 00:00:31.427000,0 days 00:00:42.876000,0 days 00:00:26.992000,SOFT,17.0,101.295,31.427,42.876,26.992,VER,2023,Bahrain
16.0,0 days 00:01:37.801000,0 days 00:00:31.209000,0 days 00:00:42.711000,0 days 00:00:23.881000,SOFT,2.0,97.801,31.209,42.711,23.881,VER,2023,Bahrain
17.0,0 days 00:01:37.648000,0 days 00:00:31.170000,0 days 00:00:42.623000,0 days 00:00:23.855000,SOFT,3.0,97.648,31.17,42.623,23.855,VER,2023,Bahrain
18.0,0 days 00:01:37.614000,0 days 00:00:31.211000,0 days 00:00:42.569000,0 days 00:00:23.834000,SOFT,4.0,97.614,31.211,42.569,23.834,VER,2023,Bahrain
19.0,0 days 00:01:37.712000,0 days 00:00:31.243000,0 days 00:00:42.608000,0 days 00:00:23.861000,SOFT,5.0,97.712,31.243,42.608,23.861,VER,2023,Bahrain
20.0,0 days 00:01:37.788000,0 days 00:00:31.186000,0 days 00:00:42.766000,0 days 00:00:23.836000,SOFT,6.0,97.788,31.186,42.766,23.836,VER,2023,Bahrain
21.0,0 days 00:01:37.582000,0 days 00:00:31.168000,0 days 00:00:42.572000,0 days 00:00:23.842000,SOFT,7.0,97.582,31.168,42.572,23.842,VER,2023,Bahrain
22.0,0 days 00:01:37.651000,0 days 00:00:31.224000,0 days 00:00:42.548000,0 days 00:00:23.879000,SOFT,8.0,97.651,31.224,42.548,23.879,VER,2023,Bahrain
23.0,0 days 00:01:37.552000,0 days 00:00:31.153000,0 days 00:00:42.514000,0 days 00:00:23.885000,SOFT,9.0,97.552,31.153,42.514,23.885,VER,2023,Bahrain
24.0,0 days 00:01:37.387000,0 days 00:00:31.145000,0 days 00:00:42.398000,0 days 00:00:23.844000,SOFT,10.0,97.387,31.145,42.398,23.844,VER,2023,Bahrain
25.0,0 days 00:01:37.372000,0 days 00:00:31.145000,0 days 00:00:42.344000,0 days 00:00:23.883000,SOFT,11.0,97.372,31.145,42.344,23.883,VER,2023,Bahrain
26.0,0 days 00:01:37.682000,0 days 00:00:31.213000,0 days 00:00:42.533000,0 days 00:00:23.936000,SOFT,12.0,97.682,31.213,42.533,23.936,VER,2023,Bahrain
27.0,0 days 00:01:37.379000,0 days 00:00:31.079000,0 days 00:00:42.349000,0 days 00:00:23.951000,SOFT,13.0,97.379,31.079,42.349,23.951,VER,2023,Bahrain
28.0,0 days 00:01:37.651000,0 days 00:00:31.112000,0 days 00:00:42.554000,0 days 00:00:23.985000,SOFT,14.0,97.651,31.112,42.554,23.985,VER,2023,Bahrain
29.0,0 days 00:01:37.571000,0 days 00:00:31.045000,0 days 00:00:42.533000,0 days 00:00:23.993000,SOFT,15.0,97.571,31.045,42.533,23.993,VER,2023,Bahrain
30.0,0 days 00:01:37.549000,0 days 00:00:31.185000,0 days 00:00:42.443000,0 days 00:00:23.921000,SOFT,16.0,97.549,31.185,42.443,23.921,VER,2023,Bahrain
31.0,0 days 00:01:37.431000,0 days 00:00:31.040000,0 days 00:00:42.464000,0 days 00:00:23.927000,SOFT,17.0,97.431,31.04,42.464,23.927,VER,2023,Bahrain
32.0,0 days 00:01:37.691000,0 days 00:00:31.139000,0 days 00:00:42.523000,0 days 00:00:24.029000,SOFT,18.0,97.691,31.139,42.523,24.029,VER,2023,Bahrain
33.0,0 days 00:01:37.686000,0 days 00:00:31.112000,0 days 00:00:42.505000,0 days 00:00:24.069000,SOFT,19.0,97.686,31.112,42.505,24.069,VER,2023,Bahrain
34.0,0 days 00:01:37.839000,0 days 00:00:31.129000,0 days 00:00:42.615000,0 days 00:00:24.095000,SOFT,20.0,97.839,31.129,42.615,24.095,VER,2023,Bahrain
35.0,0 days 00:01:37.850000,0 days 00:00:31.211000,0 days 00:00:42.500000,0 days 00:00:24.139000,SOFT,21.0,97.85,31.211,42.5,24.139,VER,2023,Bahrain
36.0,0 days 00:01:40.964000,0 days 00:00:31.350000,0 days 00:00:42.582000,0 days 00:00:27.032000,SOFT,22.0,100.964,31.35,42.582,27.032,VER,2023,Bahrain
38.0,0 days 00:01:36.297000,0 days 00:00:31.034000,0 days 00:00:41.772000,0 days 00:00:23.491000,HARD,2.0,96.297,31.034,41.772,23.491,VER,2023,Bahrain
39.0,0 days 00:01:36.446000,0 days 00:00:30.818000,0 days 00:00:42.125000,0 days 00:00:23.503000,HARD,3.0,96.446,30.818,42.125,23.503,VER,2023,Bahrain
40.0,0 days 00:01:36.942000,0 days 00:00:31.175000,0 days 00:00:42.247000,0 days 00:00:23.520000,HARD,4.0,96.942,31.175,42.247,23.52,VER,2023,Bahrain
43.0,0 days 00:01:36.890000,0 days 00:00:31.130000,0 days 00:00:42.295000,0 days 00:00:23.465000,HARD,7.0,96.89,31.13,42.295,23.465,VER,2023,Bahrain
44.0,0 days 00:01:36.236000,0 days 00:00:30.783000,0 days 00:00:42.005000,0 days 00:00:23.448000,HARD,8.0,96.236,30.783,42.005,23.448,VER,2023,Bahrain
