Driver,PitLap,Stint,Compound,Year,GP
VER,14.0,1.0,SOFT,2023,Bahrain
VER,36.0,2.0,SOFT,2023,Bahrain
GAS,9.0,1.0,SOFT,2023,Bahrain
GAS,25.0,2.0,HARD,2023,Bahrain
GAS,40.0,3.0,HARD,2023,Bahrain
PER,17.0,1.0,SOFT,2023,Bahrain
PER,34.0,2.0,SOFT,2023,Bahrain
ALO,14.0,1.0,SOFT,2023,Bahrain
ALO,34.0,2.0,HARD,2023,Bahrain
LEC,13.0,1.0,SOFT,2023,Bahrain
LEC,33.0,2.0,HARD,2023,Bahrain
STR,15.0,1.0,SOFT,2023,Bahrain
STR,30.0,2.0,HARD,2023,Bahrain
SAR,12.0,1.0,SOFT,2023,Bahrain
SAR,30.0,2.0,SOFT,2023,Bahrain
SAR,40.0,3.0,HARD,2023,Bahrain
MAG,15.0,1.0,HARD,2023,Bahrain
MAG,29.0,2.0,HARD,2023,Bahrain
MAG,40.0,3.0,SOFT,2023,Bahrain
DEV,11.0,1.0,SOFT,2023,Bahrain
DEV,27.0,2.0,HARD,2023,Bahrain
TSU,10.0,1.0,SOFT,2023,Bahrain
TSU,26.0,2.0,HARD,2023,Bahrain
TSU,40.0,3.0,HARD,2023,Bahrain
ALB,11.0,1.0,SOFT,2023,Bahrain
ALB,26.0,2.0,SOFT,2023,Bahrain
ALB,40.0,3.0,HARD,2023,Bahrain
ZHO,12.0,1.0,SOFT,2023,Bahrain
ZHO,32.0,2.0,HARD,2023,Bahrain
ZHO,54.0,3.0,SOFT,2023,Bahrain
HUL,11.0,1.0,SOFT,2023,Bahrain
HUL,26.0,2.0,HARD,2023,Bahrain
HUL,40.0,3.0,HARD,2023,Bahrain
OCO,12.0,1.0,SOFT,2023,Bahrain
OCO,15.0,2.0,HARD,2023,Bahrain
OCO,32.0,3.0,HARD,2023,Bahrain
OCO,41.0,4.0,HARD,2023,Bahrain
NOR,10.0,1.0,SOFT,2023,Bahrain
NOR,17.0,2.0,HARD,2023,Bahrain
NOR,27.0,3.0,SOFT,2023,Bahrain
NOR,37.0,4.0,MEDIUM,2023,Bahrain
NOR,47.0,5.0,HARD,2023,Bahrain
NOR,54.0,6.0,SOFT,2023,Bahrain
HAM,12.0,1.0,SOFT,2023,Bahrain
HAM,30.0,2.0,HARD,2023,Bahrain
SAI,13.0,1.0,SOFT,2023,Bahrain
SAI,31.0,2.0,HARD,2023,Bahrain
RUS,13.0,1.0,SOFT,2023,Bahrain
RUS,31.0,2.0,HARD,2023,Bahrain
BOT,11.0,1.0,SOFT,2023,Bahrain
BOT,29.0,2.0,HARD,2023,Bahrain
PIA,13.0,1.0,SOFT,2023,Bahrain
VER,17.0,1.0,SOFT,2024,Bahrain
VER,37.0,2.0,HARD,2024,Bahrain
PER,12.0,1.0,SOFT,2024,Bahrain
PER,36.0,2.0,HARD,2024,Bahrain
SAI,14.0,1.0,SOFT,2024,Bahrain
SAI,35.0,2.0,HARD,2024,Bahrain
