Compound,TyreLife,LapTimeSec
HARD,2.0,95.283
HARD,3.0,95.16
HARD,4.0,95.316
HARD,5.0,95.204
HARD,6.0,95.216
HARD,7.0,95.289
HARD,8.0,95.342
HARD,9.0,95.223
HARD,10.0,95.581
HARD,11.0,95.477
HARD,12.0,95.793
HARD,13.0,95.771
HARD,14.0,95.679
HARD,15.0,95.886
HARD,16.0,95.863
HARD,17.0,96.133
HARD,18.0,96.018
HARD,19.0,96.205
SOFT,2.0,92.608
SOFT,3.0,96.589
SOFT,4.0,96.287
SOFT,5.0,95.48150000000001
SOFT,6.0,95.452
SOFT,7.0,95.589
SOFT,8.0,95.711
SOFT,9.0,95.6425
SOFT,10.0,95.6385
SOFT,11.0,95.687
SOFT,12.0,95.816
SOFT,13.0,95.8715
SOFT,14.0,95.7125
SOFT,15.0,95.97550000000001
SOFT,16.0,96.315
SOFT,17.0,96.18100000000001
SOFT,18.0,96.0975
SOFT,19.0,95.9195
SOFT,20.0,94.923
